نوع عملیات,SKU,نام محصول,وضعیت,توضیحات
ایجاد والد,,کفشور استیل مدل 600,موفق,ID: 7279
ایجاد وارییشن,140001000000681,کفشور استیل مدل 600,موفق,ID: 7281
ایجاد والد,,کفشور استیل مدل 7000,موفق,ID: 7283
ایجاد وارییشن,140001000000719,کفشور استیل مدل 7000,موفق,ID: 7285
ایجاد وارییشن,140001000000720,کفشور استیل مدل 7000,موفق,ID: 7287
ایجاد وارییشن,140001000000721,کفشور استیل مدل 7000,موفق,ID: 7289
ایجاد والد,,کفشور استیل مدل 1001,موفق,ID: 7291
ایجاد وارییشن,140001000000722,کفشور استیل مدل 1001,موفق,ID: 7293
ایجاد وارییشن,140001000000723,کفشور استیل مدل 1001,موفق,ID: 7295
ایجاد وارییشن,140001000000724,کفشور استیل مدل 1001,موفق,ID: 7297
ایجاد وارییشن,140001000000725,کفشور استیل مدل 1001,موفق,ID: 7299
ایجاد وارییشن,140001000000726,کفشور استیل مدل 1001,موفق,ID: 7301
ایجاد وارییشن,140001000000727,کفشور استیل مدل 1001,موفق,ID: 7303
ایجاد وارییشن,140001000000728,کفشور استیل مدل 1001,موفق,ID: 7305
ایجاد والد,,کفشور استیل مدل 1005,موفق,ID: 7307
ایجاد وارییشن,140001000000729,کفشور استیل مدل 1005,موفق,ID: 7309
ایجاد وارییشن,140001000000730,کفشور استیل مدل 1005,موفق,ID: 7311
ایجاد وارییشن,140001000000731,کفشور استیل مدل 1005,موفق,ID: 7313
ایجاد والد,,کفشور استیل مدل 1530,موفق,ID: 7315
ایجاد وارییشن,140001000000732,کفشور استیل مدل 1530,موفق,ID: 7317
ایجاد والد,,کفشور استیل مدل 2002,موفق,ID: 7319
ایجاد وارییشن,140001000000733,کفشور استیل مدل 2002,موفق,ID: 7321
ایجاد وارییشن,140001000000734,کفشور استیل مدل 2002,موفق,ID: 7323
ایجاد وارییشن,140001000000735,کفشور استیل مدل 2002,موفق,ID: 7325
ایجاد والد,,کفشور استیل مدل 2004,موفق,ID: 7327
ایجاد وارییشن,140001000000736,کفشور استیل مدل 2004,موفق,ID: 7329
ایجاد والد,,کفشور استیل مدل 302,موفق,ID: 7331
ایجاد وارییشن,140001000000737,کفشور استیل مدل 302,موفق,ID: 7333
ایجاد وارییشن,140001000000738,کفشور استیل مدل 302,موفق,ID: 7335
ایجاد وارییشن,140001000000739,کفشور استیل مدل 302,موفق,ID: 7337
ایجاد وارییشن,140001000000740,کفشور استیل مدل 302,موفق,ID: 7339
ایجاد وارییشن,140001000000741,کفشور استیل مدل 302,موفق,ID: 7341
ایجاد والد,,کفشور استیل مدل 360,موفق,ID: 7343
ایجاد وارییشن,140001000000742,کفشور استیل مدل 360,موفق,ID: 7345
ایجاد وارییشن,140001000000743,کفشور استیل مدل 360,موفق,ID: 7347
ایجاد وارییشن,140001000000744,کفشور استیل مدل 360,موفق,ID: 7349
ایجاد وارییشن,140001000000745,کفشور استیل مدل 360,موفق,ID: 7351
ایجاد وارییشن,140001000000746,کفشور استیل مدل 360,موفق,ID: 7353
ایجاد والد,,کفشور استیل مدل 602,موفق,ID: 7355
ایجاد وارییشن,140001000000747,کفشور استیل مدل 602,موفق,ID: 7357
ایجاد وارییشن,140001000000748,کفشور استیل مدل 602,موفق,ID: 7359
ایجاد وارییشن,140001000000749,کفشور استیل مدل 602,موفق,ID: 7361
ایجاد وارییشن,140001000000750,کفشور استیل مدل 602,موفق,ID: 7363
ایجاد والد,,کفشور استیل مدل 660,موفق,ID: 7365
